year,fixture_id,round,home_team,away_team,home_goals,away_goals,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,result,result_entity,result_team,result_odds,bookie_correct
2002,35,3,Saudi Arabia,Ireland,0,3,8.22,5.09,1.31,Ireland,1.31,Saudi Arabia,8.22,away,favourite,Ireland,1.31,TRUE
2002,36,3,Cameroon,Germany,0,2,4.18,3.25,1.95,Germany,1.95,Cameroon,4.18,away,favourite,Germany,1.95,TRUE
2002,37,3,South Africa,Spain,2,3,6.83,2.85,1.69,Spain,1.69,South Africa,6.83,away,favourite,Spain,1.69,TRUE
2002,38,3,Slovenia,Paraguay,1,3,5.04,3.72,1.66,Paraguay,1.66,Slovenia,5.04,away,favourite,Paraguay,1.66,TRUE
2002,39,3,Sweden,Argentina,1,1,5.57,3.53,1.66,Argentina,1.66,Sweden,5.57,draw,draw,Draw,3.53,FALSE
2002,40,3,Nigeria,England,0,0,5.68,3.48,1.66,England,1.66,Nigeria,5.68,draw,draw,Draw,3.48,FALSE
2002,41,3,Turkey,China,3,0,1.37,4.77,7.97,Turkey,1.37,China,7.97,home,favourite,Turkey,1.37,TRUE
2002,42,3,Costa Rica,Brazil,2,5,8.33,3.1,1.52,Brazil,1.52,Costa Rica,8.33,away,favourite,Brazil,1.52,TRUE
2002,43,3,Mexico,Italy,1,1,6.09,3.66,1.55,Italy,1.55,Mexico,6.09,draw,draw,Draw,3.66,FALSE
2002,44,3,Ecuador,Croatia,1,0,5.96,3.68,1.58,Croatia,1.58,Ecuador,5.96,home,outsider,Ecuador,5.96,FALSE
2002,45,3,Portugal,South Korea,0,1,1.96,3.18,4.06,Portugal,1.96,South Korea,4.06,away,outsider,South Korea,4.06,FALSE
2002,46,3,Poland,USA,3,1,4.17,2.96,1.97,USA,1.97,Poland,4.17,home,outsider,Poland,4.17,FALSE
2002,47,3,Tunisia,Japan,0,2,5.8,3.49,1.66,Japan,1.66,Tunisia,5.8,away,favourite,Japan,1.66,TRUE
2002,48,3,Belgium,Russia,3,2,3.1,2.98,2.48,Russia,2.48,Belgium,3.1,home,outsider,Belgium,3.1,FALSE
2002,49,Round of 16,Germany,Brazil,0,2,4.22,3.12,2.06,Brazil,2.06,Germany,4.22,away,favourite,Brazil,2.06,TRUE
2002,50,Round of 16,South Korea,Turkey,2,3,2.72,2.94,2.85,South Korea,2.72,Turkey,2.85,away,outsider,Turkey,2.85,FALSE
2002,51,Round of 16,Brazil,Turkey,1,0,1.55,3.81,5.99,Brazil,1.55,Turkey,5.99,home,favourite,Brazil,1.55,TRUE
2002,52,Round of 16,Germany,South Korea,1,0,2.23,2.97,3.72,Germany,2.23,South Korea,3.72,home,favourite,Germany,2.23,TRUE
2002,53,Round of 16,Senegal,Turkey,0,0,2.58,2.96,2.91,Senegal,2.58,Turkey,2.91,draw,draw,Draw,2.96,FALSE
2002,54,Round of 16,Spain,South Korea,0,0,2.14,3.06,3.83,Spain,2.14,South Korea,3.83,draw,draw,Draw,3.06,FALSE
2002,55,Round of 16,England,Brazil,1,2,3.23,3.01,2.43,Brazil,2.43,England,3.23,away,favourite,Brazil,2.43,TRUE
2002,56,Round of 16,Germany,USA,1,0,1.63,3.53,5.98,Germany,1.63,USA,5.98,home,favourite,Germany,1.63,TRUE
2002,57,Quarter Final,Japan,Turkey,0,1,2.53,2.98,3.1,Japan,2.53,Turkey,3.1,away,outsider,Turkey,3.1,FALSE
2002,58,Quarter Final,South Korea,Italy,1,1,3.93,3.13,2.01,Italy,2.01,South Korea,3.93,draw,draw,Draw,3.13,FALSE
